f_property_type,f_room_type,f_room_type2,f_neighbourhood_cleansed,n_accommodates,n_review_scores_rating,n_number_of_reviews,n_reviews_per_month,n_minimum_nights,n_beds,n_days_since,d_airconditioning,d_bathtub,d_bedlinens,d_bodysoap,d_carbonmonoxidealarm,d_coffeemaker,d_conditioner,d_cookingbasics,d_dedicatedworkspace,d_dishesandsilverware,d_dryer,d_elevator,d_essentials,d_ethernetconnection,d_extrapillowsandblankets,d_fireextingr,d_firstaidkit,d_hairdryer,d_hangers,d_heating,d_hotthampoo,d_hotwater,d_iron,d_keypad,d_kitchen,d_ledropoffallowed,d_lockonbedroomdoor,d_lockbox,d_longtermstaysallowed,d_microwave,d_oven,d_paidparkingoffpremises,d_patioorbalcony,d_privateentrance,d_refrigerator,d_roomdarkeningshades,d_shampoo,d_showergel,d_singlelevelhome,d_smartlock,d_smokealarm,d_washer,d_stove_gas_or_elect,d_tv,d_wifi,price,price_day,id,usd_price_day,ln_usd_price_day,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,ln_number_of_reviews,f_number_of_reviews,f_minimum_nights,flag_days_since,flag_review_scores_rating,flag_reviews_per_month,flag_n_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,3,95,154,2.03,2,3,2274,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,"$7,750.00",7750,3814258,74.39999999999999,4.309455941839046,9,1.0986122886681098,1.206948960812582,1.0986122886681098,5.043425116919247,3,2,0,0,0,0,7.729735331385051,59.74880829326236,461.8424744725822,5171076,11759026824,4.553876891600541
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,2,97,96,1.67,3,1,1725,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,"$8,500.00",8500,3845889,81.6,4.401829261970061,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.574710978503383,3,3,0,0,0,0,7.453561871643373,55.55558457441586,414.08698694072484,2975625,5132953125,4.574710978503383
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,2,98,123,1.61,14,2,2291,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,"$4,000.00",4000,3846001,38.4,3.648057459593681,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.820281565605037,3,3,0,0,0,0,7.73718007783463,59.86395555684109,463.17820431476855,5248681,12024728171,4.584967478670572
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,4,97,36,0.48,3,2,2241,1,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,"$13,000.00",13000,3871442,124.79999999999998,4.826712455935327,16,1.3862943611198906,1.9218120556728056,1.3862943611198906,3.6109179126442243,2,3,0,0,0,0,7.715123603632105,59.52313221932124,459.22832234739997,5022081,11254483521,4.574710978503383
Apartment,Entire home/apt,Entire/Apt,Shinagawa Ku,5,97,196,2.57,2,4,2291,1,0,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,1,"$20,000.00",20000,4047596,191.99999999999997,5.2574953720277815,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,5.2832037287379885,3,2,0,0,0,0,7.73718007783463,59.86395555684109,463.17820431476855,5248681,12024728171,4.574710978503383
Apartment,Entire home/apt,Entire/Apt,Nerima Ku,2,94,72,1.04,3,1,2077,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,1,"$4,352.00",4352,4141228,41.779199999999996,3.732398608027432,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.290459441148391,3,3,0,0,0,0,7.639161171659173,58.356783406585144,445.79687390250956,4313929,8960030533,4.543294782270004
Apartment,Private room,Private,Koto Ku,2,88,78,1.03,30,1,2274,1,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,"$2,300.00",2300,4255574,22.08,3.0946722214088944,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,4.3694478524670215,3,3,0,0,0,0,7.729735331385051,59.74880829326236,461.8424744725822,5171076,11759026824,4.477336814478207
Apartment,Entire home/apt,Entire/Apt,Kita Ku,5,91,182,2.45,3,5,2226,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,"$5,284.00",5284,4360718,50.7264,3.9264464851338694,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,5.209486152841421,3,3,0,0,0,0,7.708410667257367,59.41959501508717,458.03064005841065,4955076,11029999176,4.51085950651685
Apartment,Entire home/apt,Entire/Apt,Minato Ku,2,90,51,0.68,30,2,2251,1,0,0,0,0,1,0,1,1,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,0,0,0,1,0,1,0,1,"$9,586.00",9586,4391546,92.0256,4.52206679921123,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,3.9512437185814275,3,3,0,0,0,0,7.719573989259581,59.59182257565309,460.0234835275835,5067001,11405819251,4.499809670330265
Apartment,Entire home/apt,Entire/Apt,Suginami Ku,5,95,27,0.36,3,2,2232,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,"$13,500.00",13500,4396219,129.6,4.864452783918174,25,1.6094379124341003,2.5902903939802346,1.6094379124341003,3.332204510175204,2,3,0,0,0,0,7.711101251840158,59.46108251613085,458.5104278259075,4981824,11119431168,4.553876891600541
