"variable","ols_coefficient","lasso_coefficient"
"f_room_typePrivate room",0.787858904984028,-1.99292256020199
"f_room_typeShared room",-4.68255799415178,NA
"flag_n_number_of_reviews",-35.6135383693865,NA
"flag_review_scores_rating",43.2137993095015,2.39717737103858
"n_accommodates",13.8024267113278,17.1697942976316
"n_accommodates:f_neighbourhood_cleansedArakawa Ku",NA,-0.690452951052857
"n_accommodates:f_neighbourhood_cleansedBunkyo Ku",NA,1.42731478476675
"n_accommodates:f_neighbourhood_cleansedChuo Ku",NA,6.21862306136224
"n_accommodates:f_neighbourhood_cleansedEdogawa Ku",NA,-2.26629752818505
"n_accommodates:f_neighbourhood_cleansedFussa Shi",NA,-0.572573049650507
"n_accommodates:f_neighbourhood_cleansedHamura Shi",NA,1.66943822200213
"n_accommodates:f_neighbourhood_cleansedHigashimurayama Shi",NA,-0.392510555838775
"n_accommodates:f_neighbourhood_cleansedKatsushika Ku",NA,-2.40191332955694
"n_accommodates:f_neighbourhood_cleansedKita Ku",NA,-4.19580682959504
"n_accommodates:f_neighbourhood_cleansedKoganei Shi",NA,-0.0124453027342593
"n_accommodates:f_neighbourhood_cleansedKomae Shi",NA,0.000339418723006441
"n_accommodates:f_neighbourhood_cleansedKoto Ku",NA,-1.2963505880866
"n_accommodates:f_neighbourhood_cleansedMachida Shi",NA,-0.000500655409083228
"n_accommodates:f_neighbourhood_cleansedMeguro Ku",NA,3.29287583038584
"n_accommodates:f_neighbourhood_cleansedMinato Ku",NA,0.779960103318705
"n_accommodates:f_neighbourhood_cleansedNakano Ku",NA,3.79637175017292
"n_accommodates:f_neighbourhood_cleansedNishitokyo Shi",NA,-1.59520732549554
"n_accommodates:f_neighbourhood_cleansedOme Shi",NA,-1.87986761667213
"n_accommodates:f_neighbourhood_cleansedOta Ku",NA,5.74563539809427
"n_accommodates:f_neighbourhood_cleansedSetagaya Ku",NA,0.0681829324002172
"n_accommodates:f_neighbourhood_cleansedShibuya Ku",NA,4.94451765403167
"n_accommodates:f_neighbourhood_cleansedShinjuku Ku",NA,6.37249125500353
"n_accommodates:f_neighbourhood_cleansedSumida Ku",NA,-1.05843209664064
"n_accommodates:f_neighbourhood_cleansedTaito Ku",NA,0.868295938554822
"n_beds",5.17263182645847,5.05892872762493
"n_days_since",0.0221398008438449,7.6537182304721
"n_number_of_reviews",-0.149793140174031,-4.37066061804727
"n_review_scores_rating",0.412447091444413,2.67007316585832
